Monitor,Day1,Day2
16563,01/08/2014,03/08/2014
16565,25/07/2014,27/07/2014
16567,01/08/2014,03/08/2014
16570,02/08/2014,06/08/2014
16571,03/08/2014,05/08/2014
16573,03/08/2014,07/08/2014
16576,19/07/2014,24/07/2014
16584,26/07/2014,28/07/2014
16586,31/07/2014,02/08/2014
16589,03/08/2014,07/08/2014
16591,20/07/2014,23/07/2014
18613,19/07/2014,22/07/2014
18614,15/07/2014,19/07/2014
18616,26/07/2014,29/07/2014
18617,20/07/2014,25/07/2014
18618,19/07/2014,22/07/2014
18619,28/07/2014,02/08/2014
18620,08/08/2014,09/08/2014
18622,04/08/2014,09/08/2014
18623,01/08/2014,03/08/2014
18624,02/08/2014,04/08/2014
18625,17/07/2014,19/07/2014
18626,21/07/2014,26/07/2014
18628,03/08/2014,05/08/2014
18629,27/07/2014,29/07/2014
18630,16/07/2014,20/07/2014
18631,15/07/2014,19/07/2014
18632,20/07/2014,23/07/2014
18633,24/07/2014,26/07/2014
18634,19/07/2014,22/07/2014
18635,15/07/2014,19/07/2014
18636,08/08/2014,09/08/2014
18638,31/07/2014,02/08/2014
18639,20/07/2014,23/07/2014
18641,02/08/2014,04/08/2014
18642,20/07/2014,23/07/2014
18643,23/07/2014,27/07/2014
18644,26/07/2014,31/07/2014
18645,30/07/2014,02/08/2014
18647,24/07/2014,26/07/2014
18648,20/07/2014,23/07/2014
